COMMON_NAME_ebird,SCIENTIFIC_NAME_ebird,COMMON_NAME_traits,SCIENTIFIC_NAME_traits,SCIENTIFIC_NAME_tree,COMMON_NAME_tree
Black-eared Cuckoo,Chrysococcyx osculans,Black-eared Cuckoo,Chalcites_osculans,Chrysococcyx_osculans,Black-eared Cuckoo
Wandering Tattler,Tringa incana,Wandering Tattler,Tringa_incana,Heteroscelus_incanus,Wandering Tattler
Lesser Crested Tern,Thalasseus bengalensis,Lesser Crested Tern,Thalasseus_bengalensis,Sterna_bengalensis,Lesser Crested Tern
Great Bowerbird,Chlamydera nuchalis,Great Bowerbird,Ptilonorhynchus_nuchalis,Chlamydera_nuchalis,Great Bowerbird
Golden Bowerbird,Amblyornis newtoniana,Golden Bowerbird,Amblyornis_newtonianus,Prionodura_newtoniana,Golden Bowerbird
Mangrove Robin,Eopsaltria pulverulenta,Mangrove Robin,Peneothello_pulverulenta,Eopsaltria_pulverulenta,Mangrove Robin
White-gaped Honeyeater,Stomiopera unicolor,White-gaped Honeyeater,Stomiopera_unicolor,Lichenostomus_unicolor,White-gaped Honeyeater
Pied Heron,Egretta picata,Pied Heron,Egretta_picata,Ardea_picata,Pied Heron
Varied Honeyeater,Gavicalis versicolor,Varied Honeyeater,Gavicalis_versicolor,Lichenostomus_versicolor,Varied Honeyeater
Chestnut-rumped Heathwren,Hylacola pyrrhopygia,Chestnut-rumped Heathwren,Calamanthus_pyrrhopygia,Hylacola_pyrrhopygia,Chestnut-rumped Heathwren
Australian Fairy Tern,Sternula nereis,Fairy Tern,Sternula_nereis,Sterna_nereis,Fairy Tern
Spinifexbird,Megalurus carteri,Spinifexbird,Poodytes_carteri,Eremiornis_carteri,Spinifexbird
White-browed Crake,Amaurornis cinerea,White-browed Crake,Amaurornis_cinerea,Porzana_cinerea,White-browed Crake
Baillon's Crake,Zapornia pusilla,Baillon's Crake,Zapornia_pusilla,Porzana_pusilla,Baillon's Crake
Laughing Dove,Streptopelia senegalensis,Laughing Dove,Streptopelia_senegalensis,Stigmatopelia_senegalensis,Laughing Dove
Black-tailed Treecreeper,Climacteris melanurus,Black-tailed Treecreeper,Climacteris_melanura,Climacteris_melanurus,Black-tailed Treecreeper
Yellow-tinted Honeyeater,Ptilotula flavescens,Yellow-tinted Honeyeater,Ptilotula_flavescens,Lichenostomus_flavescens,Yellow-tinted Honeyeater
White-eared Monarch,Carterornis leucotis,White-eared Monarch,Carterornis_leucotis,Monarcha_leucotis,White-eared Monarch
Banded Honeyeater,Cissomela pectoralis,Banded Honeyeater,Cissomela_pectoralis,Certhionyx_pectoralis,Banded Honeyeater
Rufous Treecreeper,Climacteris rufus,Rufous Treecreeper,Climacteris_rufa,Climacteris_rufus,Rufous Treecreeper
Bridled Tern,Onychoprion anaethetus,Bridled Tern,Onychoprion_anaethetus,Sterna_anaethetus,Bridled Tern
Sarus Crane,Antigone antigone,Sarus Crane,Antigone_antigone,Grus_antigone,Sarus Crane
Gouldian Finch,Erythrura gouldiae,Gouldian Finch,Chloebia_gouldiae,Erythrura_gouldiae,Gouldian Finch
Chestnut Quail-thrush,Cinclosoma castanotum,Chestnut Quail-thrush,Cinclosoma_castanotus,Cinclosoma_castanotum,Chestnut Quail-thrush
Magnificent Riflebird,Ptiloris magnificus,Magnificent Riflebird,Lophorina_magnificus,Ptiloris_magnificus,Magnificent Riflebird
Trumpet Manucode,Phonygammus keraudrenii,Trumpet Manucode,Phonygammus_keraudrenii,Manucodia_keraudrenii,Trumpet Manucode
Hooded Parrot,Psephotus dissimilis,Hooded Parrot,Psephotellus_dissimilis,Psephotus_dissimilis,Hooded Parrot
Frill-necked Monarch,Arses lorealis,Frilled Monarch,Arses_telescopthalmus,Arses_telescophthalmus,Frilled Monarch
Regent Honeyeater,Anthochaera phrygia,Regent Honeyeater,Anthochaera_phrygia,Xanthomyza_phrygia,Regent Honeyeater
Ruff,Calidris pugnax,Ruff,Calidris_pugnax,Philomachus_pugnax,Ruff
Sooty Tern,Onychoprion fuscatus,Sooty Tern,Onychoprion_fuscata,Sterna_fuscata,Sooty Tern
Australasian Pipit,Anthus novaeseelandiae,Australasian Pipit,Anthus_novaeseelandiae,Anthus novaeseelandiae,Australasian Pipit
